X,Y
14.96651608,13.02667039
3.153033115,9.077201165
3.378604873,9.08216299
2.019826356,9.156854105
0.389393133,8.097564996
0.214979209,8.08994501
9.848652336,12.40307168
2.745543731,9.927033274
3.12729821,8.501171972
3.716914533,10.42815845
22.26195846,13.94841935
22.6501134,15.49493447
5.46472208,9.736764741
0.610887118,7.976440758
2.341204812,9.117257876
4.190128456,10.23655701
1.835896656,9.107777192
2.223141429,8.957732103
1.284736824,8.50499278
1.595980159,8.72561027
5.324299388,12.29166225
4.227277603,11.3541678
1.253259078,8.43616371
3.85078116,10.81965198
3.256027092,10.5043415
2.264708599,9.351093749
1.051069359,8.712388035
11.12334185,14.86906814
3.243141743,10.53931172
4.657977087,9.089518258
0.33993125,8.250704735
1.883344557,8.734913517
8.036181857,11.13484737
1.074047621,8.470064067
5.509938967,11.72889394
8.340753508,12.16719166
2.56130656,9.834548304
1.20940123,8.857404284
1.58341657,9.404154335
4.302396484,9.820965809
0.843330274,8.400368998
7.615561828,11.67950978
7.072892604,12.20657269
0.279275334,8.204525454
2.485347111,9.275698479
0.508739205,8.216787775
4.144260815,10.81229236
5.191120237,10.44164801
2.394877211,8.317836535
10.26800544,12.75276269
0.269441004,8.192717615
4.429187752,9.686596266
0.069423023,8.051964658
7.367954204,14.03833782
1.227656262,8.264611563
5.916199862,9.498776016
0.538560734,8.471634761
0.625983516,8.145533394
1.030093422,8.865271895
21.97383104,20.54221053
0.56173157,8.352529732
7.273839068,9.417173625
0.200869632,8.141538047
1.358182534,7.419801587
0.406287187,8.189849488
0.444307771,8.190498246
5.16736116,9.966088001
4.495990177,9.120002518
3.511083422,9.980375319
5.409867119,10.4571195
3.97081783,10.22099245
1.118441905,9.107242514
9.111917341,9.642992425
3.696826375,10.24686149
9.554556433,10.91702547
4.158490516,7.787352546
24.9700717,5.496478348
13.17236776,13.14028917
6.412126691,11.93517305
9.221540879,12.92420225
9.16582315,7.50164532
0.577981401,8.217133151
4.946411167,10.20471314
23.36194096,21.15526346
1.451014015,9.212495708
4.552836823,10.70791818
1.020556323,8.517199067
6.781291453,12.08605403
18.16396632,9.660415033
17.82715479,10.1998721
1.052398421,8.348077827
5.727550007,11.22822602
4.457895779,9.691777535
3.861592782,9.92297967
0.089205082,8.020510147
13.97746573,15.62582159
